itemname,key,delay,value_type,description,application,discovery_rule,template,units
#{#SNMPVALUE}: Power supply status,sensor.psu.status[boxServicesPowSupplyItemState.{#SNMPINDEX}],3m,3,"MIB: FASTPATH-BOXSERVICES-PRIVATE-MIB
The status of power supply",Power supply,PSU Discovery,Template Net Netgear Fastpath SNMPv2,
#{#SNMPVALUE}: Temperature status,sensor.temp.status[boxServicesTempSensorState.{#SNMPINDEX}],3m,3,"MIB: FASTPATH-BOXSERVICES-PRIVATE-MIB
The state of temperature sensor",Temperature,Temperature Discovery,Template Net Netgear Fastpath SNMPv2,
#{#SNMPVALUE}: CPU utilization,system.cpu.util[tpSysMonitorCpu1Minute.{#SNMPINDEX}],3m,0,"MIB: TPLINK-SYSMONITOR-MIB
Displays the CPU utilization in 1 minute.
Reference: http://www.tp-link.com/faq-1330.html",CPU,CPU Discovery,Template Net TP-LINK SNMPv2,%
#{#SNMPVALUE}: Memory utilization,vm.memory.pused[tpSysMonitorMemoryUtilization.{#SNMPINDEX}],3m,0,"MIB: TPLINK-SYSMONITOR-MIB
Displays the memory utilization.
Reference: http://www.tp-link.com/faq-1330.html",Memory,Memory Discovery,Template Net TP-LINK SNMPv2,%
Incoming network dropped packets on {#IFNAME},"net.if.in[{#IFNAME},dropped]",60,3,,Network interfaces,Network interface discovery,Template OpenStack OS Linux,
Disk {#DEVNAME} reads ops,"disk.status[{#DEVNAME},readops]",60,3,,Disk I/O,Block devices discovery,Template OpenStack OS Linux,iops/s
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",60,0,,Filesystems,Mounted filesystem discovery,Template OpenStack OS Linux,%
/dev/{#MDEVICE} device status,mdadm.status[{#MDEVICE}],300,4,,MD Raid,MD devices discovery,Template OpenStack OS Linux,
OpscDB storage Assigned volume {{#CINDERNAME}},"disk.size[{#CINDERNAME},size]",1h,0,,volume,OpsdbStorage,Template OpsDB Storage  info,G
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS AIX,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS AIX,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS FreeBSD,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS FreeBSD,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS HP-UX,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS HP-UX,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS Linux,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS Linux,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS Linux APM,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS Linux APM,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS Linux noswap,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS Linux noswap,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS Linux_MySQL,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS Linux_MySQL,%
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS Mac OS X,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS OpenBSD,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS OpenBSD,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS Solaris,bps
Free inodes on {#FSNAME} (percentage),"vfs.fs.inode[{#FSNAME},pfree]",1m,0,,Filesystems,Mounted filesystem discovery,Template OS Solaris,%
Incoming network traffic on {#IFNAME},net.if.in[{#IFNAME}],1m,3,,Network interfaces,Network interface discovery,Template OS Windows,bps
"State of service ""{#SERVICE.NAME}"" ({#SERVICE.DISPLAYNAME})","service.info[{#SERVICE.NAME},state]",1m,3,,Services,Windows service discovery,Template OS Windows,
Free disk space on {#FSNAME},"vfs.fs.size[{#FSNAME},free]",1m,3,,Filesystems,Mounted filesystem discovery,Template OS Windows,B
Battery {#BATTERY_NUM}: Disk array cache controller battery status,system.hw.diskarray.cache.battery.status[batteryState.{#SNMPINDEX}],5m,3,"MIB: IDRAC-MIB-SMIv2
Current state of battery.
Possible values:
1: The current state could not be determined.
2: The battery is operating normally.
3: The battery has failed and needs to be replaced.
4: The battery temperature is high or charge level is depleting.
5: The battery is missing or not detected.
6: The battery is undergoing the re-charge phase.
7: The battery voltage or charge level is below the threshold.",Disk arrays,Array Controller Cache Discovery,Template Server Dell iDRAC SNMPv2,
{#FAN_DESCR}: Fan speed,sensor.fan.speed[coolingDeviceReading.{#SNMPINDEX}],5m,3,"MIB: IDRAC-MIB-SMIv2
0700.0012.0001.0006 This attribute defines the reading for a cooling device
of subtype other than coolingDeviceSubTypeIsDiscrete.  When the value
for coolingDeviceSubType is other than coolingDeviceSubTypeIsDiscrete, the
value returned for this attribute is the speed in RPM or the OFF/ON value
of the cooling device.  When the value for coolingDeviceSubType is
coolingDeviceSubTypeIsDiscrete, a value is not returned for this attribute.",Fans,FAN Discovery,Template Server Dell iDRAC SNMPv2,rpm
{#CNTLR_NAME}: Disk array controller model,system.hw.diskarray.model[controllerName.{#SNMPINDEX}],1d,1,"MIB: IDRAC-MIB-SMIv2
The controller's name as represented in Storage Management.",Disk arrays,Array Controller Discovery,Template Server Dell iDRAC SNMPv2,
{#DISK_NAME}: Physical disk media type,system.hw.physicaldisk.media_type[physicalDiskMediaType.{#SNMPINDEX}],1h,3,"MIB: IDRAC-MIB-SMIv2
The media type of the physical disk. Possible Values:
1: The media type could not be determined.
2: Hard Disk Drive (HDD).
3: Solid State Drive (SSD).",Physical disks,Physical Disk Discovery,Template Server Dell iDRAC SNMPv2,
{#PSU_DESCR}: Power supply status,sensor.psu.status[powerSupplyStatus.{#SNMPINDEX}],3m,3,"MIB: IDRAC-MIB-SMIv2
0600.0012.0001.0005 This attribute defines the status of the power supply.",Power supply,PSU Discovery,Template Server Dell iDRAC SNMPv2,
{#SENSOR_LOCALE}: Temperature status,sensor.temp.status[temperatureProbeStatus.Ambient.{#SNMPINDEX}],3m,3,"MIB: IDRAC-MIB-SMIv2
0700.0020.0001.0005 This attribute defines the probe status of the temperature probe.",Temperature,Temperature Ambient Discovery,Template Server Dell iDRAC SNMPv2,
{#SENSOR_LOCALE}: Temperature status,sensor.temp.status[temperatureProbeStatus.CPU.{#SNMPINDEX}],3m,3,"MIB: IDRAC-MIB-SMIv2
0700.0020.0001.0005 This attribute defines the probe status of the temperature probe.",Temperature,Temperature CPU Discovery,Template Server Dell iDRAC SNMPv2,
Disk {#SNMPVALUE}({#DISK_NAME}): Layout type,system.hw.virtualdisk.layout[virtualDiskLayout.{#SNMPINDEX}],1h,3,"MIB: IDRAC-MIB-SMIv2
The virtual disk's RAID type.
Possible values:
1: Not one of the following
2: RAID-0
3: RAID-1
4: RAID-5
5: RAID-6
6: RAID-10
7: RAID-50
8: RAID-60
9: Concatenated RAID 1
10: Concatenated RAID 5",Virtual disks,Virtual Disk Discovery,Template Server Dell iDRAC SNMPv2,
#{#CACHE_CNTRL_INDEX}: Disk array cache controller battery status,system.hw.diskarray.cache.battery.status[cpqDaAccelBattery.{#SNMPINDEX}],5m,3,"MIB: CPQIDA-MIB
Cache Module Board Backup Power Status. This monitors the status of each backup power source on the board.
The backup power source can only recharge when the system has power applied. The type of backup power source used is indicated by cpqDaAccelBackupPowerSource.
The following values are valid:
Other (1)  Indicates that the instrument agent does not recognize  backup power status.  You may need to update your software.

Ok (2)  The backup power source is fully charged.

Recharging (3)  The array controller has one or more cache module backup power  sources that are recharging.
Cache module operations such as Battery/Flash Backed Write Cache, Expansion, Extension and Migration are temporarily suspended until the backup power source is fully charged.
Cache module operations will automatically resume  when charging is complete.

Failed (4)  The battery pack is below the sufficient voltage level and  has not recharged in 36 hours.
Your Cache Module board  needs to be serviced.

Degraded (5)  The battery is still operating, however, one of the batteries  in the pack has failed to recharge properly.
Your Cache  Module board should be serviced as soon as possible.

NotPresent (6)  A backup power source is not present on the cache module board. Some controllers do not have backup power sources.

Capacitor Failed (7)  The flash backed cache module capacitor is below the sufficient voltage level and has not recharged in 10 minutes.  Your Cache Module board needs to be serviced.",Disk arrays,Array Controller Cache Discovery,Template Server HP iLO SNMPv2,
{#CNTLR_LOCATION}: Disk array controller model,system.hw.diskarray.model[cpqDaCntlrModel.{#SNMPINDEX}],1d,3,"MIB: CPQIDA-MIB
Array Controller Model. The type of controller card.",Disk arrays,Array Controller Discovery,Template Server HP iLO SNMPv2,
Fan {#SNMPINDEX}: Fan status,sensor.fan.status[cpqHeFltTolFanCondition.{#SNMPINDEX}],3m,3,"MIB: CPQHLTH-MIB
The condition of the fan.
This value will be one of the following:
other(1)  Fan status detection is not supported by this system or driver.
ok(2)  The fan is operating properly.
degraded(2)  A redundant fan is not operating properly.
failed(4)  A non-redundant fan is not operating properly.",Fans,FAN Discovery,Template Server HP iLO SNMPv2,
{#DISK_LOCATION}: Physical disk media type,system.hw.physicaldisk.media_type[cpqDaPhyDrvMediaType.{#SNMPINDEX}],1h,3,"MIB: CPQIDA-MIB
Drive Array Physical Drive Media Type.The following values are defined:
other(1)  The instrument agent is unable to determine the physical drive’s media type.
rotatingPlatters(2)  The physical drive media is composed of rotating platters.
solidState(3)  The physical drive media is composed of solid state electronics.",Physical disks,Physical Disk Discovery,Template Server HP iLO SNMPv2,
"Chassis {#CHASSIS_NUM}, bay {#BAY_NUM}: Power supply status",sensor.psu.status[cpqHeFltTolPowerSupplyCondition.{#SNMPINDEX}],3m,3,"MIB: CPQHLTH-MIB
The condition of the power supply. This value will be one of the following:
other(1)  The status could not be determined or not present.
ok(2)  The power supply is operating normally.
degraded(3)  A temperature sensor, fan or other power supply component is  outside of normal operating range.
failed(4)  A power supply component detects a condition that could  permanently damage the system.",Power supply,PSU Discovery,Template Server HP iLO SNMPv2,
{#SNMPINDEX}: Temperature sensor location,sensor.temp.locale[cpqHeTemperatureLocale.{#SNMPINDEX}],1h,3,"MIB: CPQHLTH-MIB
This specifies the location of the temperature sensor present in the system.",Temperature,Temperature Discovery,Template Server HP iLO SNMPv2,
Ambient: Temperature,sensor.temp.value[cpqHeTemperatureCelsius.Ambient.{#SNMPINDEX}],3m,0,"MIB: CPQHLTH-MIB
Temperature readings of testpoint: Ambient",Temperature,Temperature Discovery Ambient,Template Server HP iLO SNMPv2,°C
CPU-{#SNMPINDEX}: Temperature,sensor.temp.value[cpqHeTemperatureCelsius.CPU.{#SNMPINDEX}],3m,0,"MIB: CPQHLTH-MIB
Temperature readings of testpoint: CPU-{#SNMPINDEX}",Temperature,Temperature Discovery CPU,Template Server HP iLO SNMPv2,°C
System-{#SNMPINDEX}: Temperature,sensor.temp.value[cpqHeTemperatureCelsius.System.{#SNMPINDEX}],6m,0,"MIB: CPQHLTH-MIB
Temperature readings of testpoint: System-{#SNMPINDEX}",Temperature,Temperature Discovery System,Template Server HP iLO SNMPv2,°C
Memory-{#SNMPINDEX}: Temperature,sensor.temp.value[cpqHeTemperatureCelsius.Memory.{#SNMPINDEX}],6m,0,"MIB: CPQHLTH-MIB
Temperature readings of testpoint: Memory-{#SNMPINDEX}",Temperature,Temperature Discovery Memory,Template Server HP iLO SNMPv2,°C
PSU-{#SNMPINDEX}: Temperature,sensor.temp.value[cpqHeTemperatureCelsius.PSU.{#SNMPINDEX}],6m,0,"MIB: CPQHLTH-MIB
Temperature readings of testpoint: PSU-{#SNMPINDEX}",Temperature,Temperature Discovery PSU,Template Server HP iLO SNMPv2,°C
Disk {#SNMPINDEX}({#DISK_NAME}): Layout type,system.hw.virtualdisk.layout[cpqDaLogDrvFaultTol.{#SNMPINDEX}],1h,3,"Logical Drive Fault Tolerance.
This shows the fault tolerance mode of the logical drive.",Virtual disks,Virtual Disk Discovery,Template Server HP iLO SNMPv2,
"{#FAN_DESCR}: Fan speed, %",sensor.fan.speed.percentage[fanSpeed.{#SNMPINDEX}],5m,3,"MIB: IMM-MIB
Fan speed expressed in percent(%) of maximum RPM.
An octet string expressed as 'ddd% of maximum' where:d is a decimal digit or blank space for a leading zero.
If the fan is determined not to be running or the fan speed cannot be determined, the string will indicate 'Offline'.",Fans,FAN Discovery,Template Server IBM IMM SNMPv1,%
{#SNMPINDEX}: Physical disk part number,system.hw.physicaldisk.part_number[diskFruName.{#SNMPINDEX}],1h,1,"MIB: IMM-MIB
disk module FRU name.",Physical disks,Physical Disk Discovery,Template Server IBM IMM SNMPv1,
{#PSU_DESCR}: Power supply status,sensor.psu.status[powerHealthStatus.{#SNMPINDEX}],3m,1,"MIB: IMM-MIB
A description of the power module status.",Power supply,PSU Discovery,Template Server IBM IMM SNMPv1,
{#SNMPVALUE}: Temperature,sensor.temp.value[tempReading.{#SNMPINDEX}],3m,0,"MIB: IMM-MIB
Temperature readings of testpoint: {#SNMPVALUE}",Temperature,Temperature Discovery,Template Server IBM IMM SNMPv1,°C
Ambient: Temperature,sensor.temp.value[tempReading.Ambient.{#SNMPINDEX}],3m,0,"MIB: IMM-MIB
Temperature readings of testpoint: Ambient",Temperature,Temperature Discovery Ambient,Template Server IBM IMM SNMPv1,°C
CPU: Temperature,sensor.temp.value[tempReading.CPU.{#SNMPINDEX}],3m,0,"MIB: IMM-MIB
Temperature readings of testpoint: CPU",Temperature,Temperature Discovery CPU,Template Server IBM IMM SNMPv1,°C
"{#FAN_DESCR}: Fan speed, %",sensor.fan.speed.percentage[fanSpeed.{#SNMPINDEX}],5m,3,"MIB: IMM-MIB
Fan speed expressed in percent(%) of maximum RPM.
An octet string expressed as 'ddd% of maximum' where:d is a decimal digit or blank space for a leading zero.
If the fan is determined not to be running or the fan speed cannot be determined, the string will indicate 'Offline'.",Fans,FAN Discovery,Template Server IBM IMM SNMPv2,%
{#SNMPINDEX}: Physical disk part number,system.hw.physicaldisk.part_number[diskFruName.{#SNMPINDEX}],1h,1,"MIB: IMM-MIB
disk module FRU name.",Physical disks,Physical Disk Discovery,Template Server IBM IMM SNMPv2,
{#PSU_DESCR}: Power supply status,sensor.psu.status[powerHealthStatus.{#SNMPINDEX}],3m,1,"MIB: IMM-MIB
A description of the power module status.",Power supply,PSU Discovery,Template Server IBM IMM SNMPv2,
{#SNMPVALUE}: Temperature,sensor.temp.value[tempReading.{#SNMPINDEX}],3m,0,"MIB: IMM-MIB
Temperature readings of testpoint: {#SNMPVALUE}",Temperature,Temperature Discovery,Template Server IBM IMM SNMPv2,°C
Ambient: Temperature,sensor.temp.value[tempReading.Ambient.{#SNMPINDEX}],3m,0,"MIB: IMM-MIB
Temperature readings of testpoint: Ambient",Temperature,Temperature Discovery Ambient,Template Server IBM IMM SNMPv2,°C
CPU: Temperature,sensor.temp.value[tempReading.CPU.{#SNMPINDEX}],3m,0,"MIB: IMM-MIB
Temperature readings of testpoint: CPU",Temperature,Temperature Discovery CPU,Template Server IBM IMM SNMPv2,°C
"{#SENSOR_DESCR}: Fan speed, %",sensor.fan.speed.percentage[sensorReading.{#SNMPINDEX}],5m,3,"MIB: ATEN-IPMI-MIB
A textual string containing information about the interface.
This string should include the name of the manufacturer, the product name and the version of the interface hardware/software.",Fans,FAN Discovery,Template Server Supermicro Aten SNMPv2,%
{#SENSOR_DESCR}: Temperature,sensor.temp.value[sensorReading.{#SNMPINDEX}],3m,0,"MIB: ATEN-IPMI-MIB
A textual string containing information about the interface.
This string should include the name of the manufacturer, the product name and the version of the interface hardware/software.",Temperature,Temperature Discovery,Template Server Supermicro Aten SNMPv2,°C
"Status of ""{#CLUSTER.NAME}"" cluster","vmware.cluster.status[{$URL},{#CLUSTER.NAME}]",1m,3,,Clusters,Discover VMware clusters,Template VM VMware,
Number of bytes received on interface {#IFDESC},"vmware.vm.net.if.in[{$URL},{HOST.HOST},{#IFNAME},bps]",1m,3,,Interfaces,Network device discovery,Template VM VMware Guest,Bps
Average number of bytes read from the disk {#DISKDESC},"vmware.vm.vfs.dev.read[{$URL},{HOST.HOST},{#DISKNAME},bps]",1m,3,,Disks,Disk device discovery,Template VM VMware Guest,Bps
Free disk space on {#FSNAME},"vmware.vm.vfs.fs.size[{$URL},{HOST.HOST},{#FSNAME},free]",1m,3,,Filesystems,Mounted filesystem discovery,Template VM VMware Guest,B
Average read latency of the datastore {#DATASTORE},"vmware.hv.datastore.read[{$URL},{HOST.HOST},{#DATASTORE},latency]",1m,3,,Datastore,Datastore discovery,Template VM VMware Hypervisor,
